,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
249,System Validation: Automata and behavioural equivalences,Computer Science,Design and Product,"5,060",Intermediate Level,4.2,115 ratings
250,Introduction to Automated Analysis,Computer Science,Software Development,"18,413",Approx. 19 hours to complete,,
251,Automated Reasoning: satisfiability,Computer Science,Algorithms,"9,894",Intermediate Level,4.8,27 ratings
252,Automated Reasoning: Symbolic Model Checking,Computer Science,Software Development,"5,887",Approx. 13 hours to complete,,5 ratings
253,Automating Real-World Tasks with Python,Information Technology,Cloud Computing,"125,454",Beginner Level,4.8,659 ratings
254,Capstone:  Autonomous Runway Detection for IoT,Computer Science,Software Development,"5,265",Advanced Level,,
255,Avatar Psychology for Designers,Computer Science,Software Development,"8,373",Beginner Level,4.8,9 ratings
256,Averaged-Switch Modeling and Simulation,Physical Science and Engineering,Electrical Engineering,"17,605",Intermediate Level,4.5,
257,AWS Computer Vision: Getting Started with GluonCV,Information Technology,Cloud Computing,"46,666",Beginner Level,4.6,331 ratings
258,AWS Fundamentals: Addressing Security Risk,Information Technology,Cloud Computing,"242,506",Beginner Level,4.4,
259,AWS Fundamentals: Building Serverless Applications,Information Technology,Cloud Computing,"200,687",Approx. 10 hours to complete,4.7,"1,977 ratings"
260,AWS Fundamentals: Migrating to the Cloud,Information Technology,Data Management,"195,027",Intermediate Level,4.6,"1,236 ratings"
261,AWS Fundamentals: Going Cloud-Native,Information Technology,Cloud Computing,"945,482",Beginner Level,4.7,"9,991 ratings"
262,Getting Started with AWS Machine Learning,Data Science,Machine Learning,"193,095",Intermediate Level,4.5,
263,Azure Infrastructure Fundamentals,Computer Science,Computer Security and Networks,"45,734",Advanced Level,4.2,6 ratings
264,International B2B (Business to Business) Marketing,Business,Marketing,"21,391",Approx. 9 hours to complete,4.6,
265,Bacteria and Chronic Infections,Health,Patient Care,"92,737",Approx. 10 hours to complete,4.7,"1,262 ratings"
266,Introduction to Chemistry:  Structures and Solutions,Physical Science and Engineering,Chemistry,"50,182",Beginner Level,4.7,318 ratings
267,Basic Cryptography and Programming with Crypto API,Computer Science,Computer Security and Networks,"12,308",Intermediate Level,4.2,
268,Basic Data Processing and Visualization,Data Science,Data Analysis,"33,088",Approx. 10 hours to complete,4.2,125 ratings
269,Basic Elements of Design: Design Principles and Software Overview,Arts and Humanities,History,"86,727",Approx. 11 hours to complete,4.7,
270,Basic Modeling for Discrete Optimization,Computer Science,Software Development,"22,725",Intermediate Level,4.8,312 ratings
271,Basic Recommender Systems,Data Science,Data Analysis,"6,091",Approx. 12 hours to complete,,
272,Basic Skills in Constructive Communication,Business,Leadership and Management,"129,769",Beginner Level,4.5,
273,Basic Statistics,Data Science,Probability and Statistics,"406,658",Beginner Level,4.6,"3,370 ratings"
274,Building Batch Data Pipelines on GCP,Information Technology,Cloud Computing,"85,685",Intermediate Level,4.5,997 ratings
275,Introduction to battery-management systems,Physical Science and Engineering,Electrical Engineering,"155,539",Intermediate Level,4.8,987 ratings
276,Battery Pack Balancing and Power Estimation,Physical Science and Engineering,Electrical Engineering,"21,965",Intermediate Level,4.9,
277,Battery State-of-Charge (SOC) Estimation,Physical Science and Engineering,Electrical Engineering,"41,729",Intermediate Level,4.8,90 ratings
278,Battery State-of-Health (SOH) Estimation,Physical Science and Engineering,Electrical Engineering,"19,440",Intermediate Level,4.8,53 ratings
279,Bayesian Statistics,Data Science,Data Analysis,"51,699",Intermediate Level,3.8,718 ratings
280,Bayesian Methods for Machine Learning,Data Science,Machine Learning,"102,010",Approx. 32 hours to complete,4.5,600 ratings
281,Bayesian Statistics: From Concept to Data Analysis,Data Science,Probability and Statistics,"137,833",Intermediate Level,4.6,"2,480 ratings"
282,Digital Transformation,Business,Leadership and Management,"430,037",Approx. 15 hours to complete,4.8,"3,564 ratings"
283,التحوّل الرقمي,Business,Leadership and Management,"22,257",Beginner Level,4.6,
284,Big Data Science with the BD2K-LINCS Data Coordination and Integration Center,Health,Basic Science,"3,637",Intermediate Level,4.8,20 ratings
285,"Be a Leader, Develop a Leader",Business,Leadership and Management,"3,817",Approx. 6 hours to complete,4.7,31 ratings
286,Be Your Best Creative Self,Business,Business Essentials,"20,116",Beginner Level,,6 ratings
287,Mechanics of Materials III: Beam Bending,Physical Science and Engineering,Mechanical Engineering,"46,007",Intermediate Level,4.8,745 ratings
288,Capstone: Create your own professional journalistic portfolio,Arts and Humanities,Music and Art,"11,543",Approx. 10 hours to complete,4.7,
289,EDIVET: Do you have what it takes to be a veterinarian?,Health,Animal Health,"98,461",Approx. 9 hours to complete,4.8,"1,559 ratings"
290,Exploring Beethoven’s Piano Sonatas,Arts and Humanities,Music and Art,"23,768",Approx. 18 hours to complete,4.8,
291,Behavioral Investing,Business,Finance,"31,237",Beginner Level,4.5,251 ratings
292,Introduction to Human Behavioral Genetics,Health,Psychology,"42,582",Approx. 27 hours to complete,4.8,391 ratings
293,Foundations of Public Health Practice: Behaviour & Behaviour Change,Health,Public Health,"20,516",Beginner Level,4.8,
294,Foundations of Teaching for Learning: Being a Teacher,Social Sciences,Education,"41,418",Approx. 12 hours to complete,4.7,422 ratings
295,Being a researcher (in Information Science and Technology),Physical Science and Engineering,Research Methods,"16,063",Beginner Level,4.8,57 ratings
296,Discover Best Practice Farming for a Sustainable 2050,Health,Basic Science,"40,681",Beginner Level,4.6,352 ratings
297,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,Social Sciences,Governance and Society,"63,221",Approx. 9 hours to complete,4.7,246 ratings
298,Biases and Portfolio Selection,Business,Finance,"26,648",Approx. 16 hours to complete,4.5,
299,"The Bible's Prehistory, Purpose, and Political Future",Arts and Humanities,History,"22,670",Approx. 19 hours to complete,4.7,217 ratings
300,From the Big Bang to Dark Energy,Physical Science and Engineering,Physics and Astronomy,"129,305",Beginner Level,4.8,
301,"Big Data, Artificial Intelligence, and Ethics",Data Science,Data Analysis,"63,557",Beginner Level,4.6,242 ratings
302,"Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames",Data Science,Data Analysis,"36,076",Advanced Level,4.0,173 ratings
303,Big Data Emerging Technologies,Information Technology,Data Management,"33,499",Beginner Level,4.6,111 ratings
304,"Big Data Essentials: HDFS, MapReduce and Spark RDD",Computer Science,Software Development,"78,220",Intermediate Level,4.0,480 ratings
305,Graph Analytics for Big Data,Data Science,Data Analysis,"92,861",Approx. 13 hours to complete,4.3,"1,086 ratings"
306,Big Data Integration and Processing,Data Science,Data Analysis,"102,108",Beginner Level,4.4,
307,Introduction to Big Data,Data Science,Data Analysis,"632,952",Approx. 17 hours to complete,4.6,
308,مقدمة عن البيانات الضخمة,Data Science,Data Analysis,"12,574",Approx. 17 hours to complete,,
309,Big data and Language 1,Language Learning,Learning English,"8,327",Approx. 4 hours to complete,4.6,
310,Big data and Language 2,Language Learning,Learning English,"4,476",Approx. 5 hours to complete,,
311,Machine Learning With Big Data,Data Science,Machine Learning,"159,106",Approx. 21 hours to complete,4.6,"2,133 ratings"
312,Big Data Modeling and Management Systems,Data Science,Data Analysis,"137,465",Approx. 13 hours to complete,4.4,"2,704 ratings"
313,Big Data - Capstone Project,Data Science,Data Analysis,"60,465",Approx. 21 hours to complete,4.4,360 ratings
314,Big Data Services: Capstone Project,Data Science,Machine Learning,0,Advanced Level,,
315,Big History: Connecting Knowledge,Arts and Humanities,History,"88,036",Approx. 29 hours to complete,4.8,
316,What’s Your Big Idea?,Business,Business Strategy,"5,169",Approx. 11 hours to complete,4.6,
317,Big History - From the Big Bang until Today,Physical Science and Engineering,Physics and Astronomy,"27,131",Beginner Level,4.6,172 ratings
318,The Bilingual Brain,Health,Psychology,"32,121",Approx. 15 hours to complete,4.6,332 ratings
319,BIM Application for Engineers,Physical Science and Engineering,Mechanical Engineering,"73,798",Intermediate Level,4.6,
320,BIM Fundamentals for Engineers,Physical Science and Engineering,Mechanical Engineering,"121,213",Beginner Level,4.7,
321,Bioconductor for Genomic Data Science,Data Science,Data Analysis,"18,982",Approx. 9 hours to complete,3.9,260 ratings
322,High Level Biocontainment for Healthcare Facilities,Health,Public Health,"6,112",Intermediate Level,4.6,40 ratings
323,Introduction to Biomedical Engineering ,Physical Science and Engineering,Mechanical Engineering,"72,039",Beginner Level,4.4,113 ratings
324,Biohacking Your Brain's Health,Health,Basic Science,"101,590",Beginner Level,4.7,891 ratings
325,Biology Meets Programming: Bioinformatics for Beginners,Health,Health Informatics,"74,822",Beginner Level,4.3,
326,Bioinformatic Methods I,Health,Health Informatics,"90,022",Beginner Level,4.7,"1,243 ratings"
327,Bioinformatic Methods II,Health,Health Informatics,"30,123",Beginner Level,4.7,361 ratings
328,Bioinformatics: Introduction and Methods 生物信息学: 导论与方法,Health,Health Informatics,"23,877",Approx. 25 hours to complete,4.4,
329,Bioinformatics Capstone: Big Data in Biology,Health,Health Informatics,"4,498",Beginner Level,4.2,
330,"Biological Diversity (Theories, Measures and Data sampling techniques)",Health,Basic Science,"15,224",Intermediate Level,4.3,
331,Biology Everywhere Foundations,Health,Basic Science,"47,405",Beginner Level,4.8,24 ratings
332,Biomedical Visualisation,Health,Health Informatics,"24,895",Approx. 22 hours to complete,4.6,
333,Biosphere 2 Science for the Future of Our Planet,Physical Science and Engineering,Environmental Science and Sustainability,"8,751",Beginner Level,4.8,61 ratings
334,Mathematical Biostatistics Boot Camp 1,Math and Logic,Math and Logic,"33,233",Approx. 13 hours to complete,4.5,
335,Mathematical Biostatistics Boot Camp 2,Data Science,Probability and Statistics,"9,531",Approx. 12 hours to complete,4.4,77 ratings
336,Black-box and White-box Testing,Computer Science,Software Development,"26,565",Approx. 26 hours to complete,,
337,Astro 101: Black Holes,Physical Science and Engineering,Physics and Astronomy,"91,002",Beginner Level,4.8,542 ratings
338,"Understanding, Using, and Securing Crypto and Digital Assets",Information Technology,Security,0,Beginner Level,,
339,Blended Language Learning: Design and Practice for Teachers,Language Learning,Learning English,"22,685",Approx. 21 hours to complete,4.8,153 ratings
340,Blended Learning: Personalizing Education for Students,Social Sciences,Education,"25,835",Approx. 9 hours to complete,4.9,
341,"Computational Thinking for K-12 Educators: Abstraction, Methods, and Lists",Social Sciences,Education,0,Beginner Level,,
342,Computational Thinking for K-12 Educators: Conditional Loops and If Statements,Social Sciences,Education,0,Beginner Level,,
343,Computational Thinking for K-12 Educators: Nested If Statements and Compound Conditionals ,Social Sciences,Education,0,Beginner Level,,
344,Computational Thinking for K-12 Educators: Variables and Nested Loops,Social Sciences,Education,0,Beginner Level,,
345,Blockchain Basics,Computer Science,Software Development,"326,875",Approx. 19 hours to complete,4.6,"4,477 ratings"
346,"Introduction to Blockchain: Benefits, Values and Opportunities",Information Technology,Security,"3,420",Beginner Level,4.8,
347,Blockchain and Business: Applications and Implications,Business,Business Essentials,"38,987",Approx. 27 hours to complete,4.7,
348,Blockchain Business Models,Business,Finance,"52,239",Intermediate Level,4.7,
349,"Blockchain, Cryptoassets, and Decentralized Finance",Computer Science,Computer Security and Networks,"23,941",Approx. 18 hours to complete,4.7,
350,Blockchain for the decision maker,Business,Business Strategy,"2,867",Beginner Level,4.2,29 ratings
351,Blockchain Evolution and Technology Concepts,Information Technology,Security,0,Beginner Level,,
352,Introduction to Blockchain: Evolution and Technology Concepts,Information Technology,Security,"10,205",Beginner Level,4.5,96 ratings
353,Blockchain: Foundations and Use Cases,Computer Science,Computer Security and Networks,"29,180",Beginner Level,4.7,513 ratings
354,Blockchain Opportunities Beyond Crypto Assets ,Information Technology,Security,0,Beginner Level,,
355,Blockchain Opportunity Analysis,Business,Business Strategy,"24,120",Intermediate Level,4.5,109 ratings
356,Blockchain Platforms,Computer Science,Software Development,"39,391",Approx. 16 hours to complete,4.6,
357,Blockchain 360: A State of the Art for Professionals,Business,Leadership and Management,"11,726",Beginner Level,4.5,236 ratings
358,Blockchain Scalability and its Foundations in Distributed Systems,Computer Science,Computer Security and Networks,"3,583",Beginner Level,,
359,Blockchain in Financial Services: Strategic Action Plan,Computer Science,Computer Security and Networks,"10,496",Intermediate Level,4.5,8 ratings
360,The Blockchain System,Computer Science,Algorithms,"3,477",Beginner Level,4.0,16 ratings
361,Blockchain Transformations of Financial Services,Computer Science,Computer Security and Networks,"10,285",Beginner Level,4.7,61 ratings
362,Introduction to Blockchain: Using and Securing Cryptocurrencies,Information Technology,Security,"3,113",Beginner Level,4.5,78 ratings
363,Business Model Innovation for Sustainable Landscape Restoration,Business,Business Strategy,"4,745",Beginner Level,,14 ratings
